name,field_location_longitude,field_location_latitude
Muhafazat Maan,36.583,30.333
Ash Shaybaa,36.176,30.334
Far3 Wadi Al Abyad,37.844,30.529
Mamarr Ad Dawaain,37.323,30.659
Ba3ir,36.679,30.764
Al Farsh,35.634,29.884
Jibal Ash Sharah,35.436,30.015
Raas Mu3ayqil,35.517,30.033
Biar Hamad,35.365,30.091
Khirbat al Murayghah,35.535,30.112
Dawr,35.483,30.117
Husaynan,35.756,29.866
Qasr As Safraa,35.695,30.259
Umm ar Rakhm,35.429,30.177
Salman,35.433,30.183
Khirbat Mabrak,35.483,30.233
At Turiyah,35.483,30.233
Khirbat Zahrat Ar Ru3yis,35.467,30.25
Jabal al Ghazl,35.467,30.25
Khirbat al Majdal,35.483,30.25
Tal3at Omer,35.5,30.25
Khirbat al Baqah,35.45,30.267
Kafr Saham,35.5,30.267
Al Butahi,35.5,30.267
Khashm As Sawwanah,35.456,30.268
Duwas,35.465,30.272
Da7a7ah,35.483,30.283
Al Hittah,35.517,30.283
Khirbat Al Mu3allaqah,35.467,30.3
Al Buraq,35.467,30.3
Jabal Al Madhbah,35.447,30.322
Ash Sharah,35.5,30.333
Raas Mulayh,35.465,30.356
Khirbat Badibda,35.483,30.367
Al Ma7zul,35.517,30.367
Rujm Tal3at Az Zalmaa,35.568,30.415
Raas al Qubur,35.499,30.416
Bir Ad Dabbaghat,35.507,30.417
Al Hulaylah,35.517,30.467
Umm Sawwanah,35.502,30.477
Bir Abu Al 3laq,35.566,30.408
Nijil,35.538,30.518
Khirbat Ad Dawsaq,35.616,30.521
Gharqa,35.517,30.533
Jabal al Mubarrad,35.658,32.207
Tall al Kharabah,35.681,32.244
Tall As Sumayhiyat,35.623,32.246
Jabal al Hutah,35.643,32.252
Sihan,35.54,30.541
Ibn Dhib,35.5,30.55
Al Arzah,35.537,30.562
Bada,35.605,30.6
Ad Dabalik,35.733,31.733
Kufayr Al Wakhyan,35.767,31.754
At Taym,35.783,31.7
Kufayrat Abu Kinan,35.8,31.744
Khirbat Al Kharshah,35.6,31.617
Abu Thuhur,35.6,31.533
Al Wala,35.717,31.65
Al Hawayah,35.655,31.664
Al Kharshah,35.616,31.637
Al Hirsh,35.612,31.537
Mudallalah,35.633,31.5
Sharifat Al Khalakhil,35.636,31.516
Suhayy Al Khatatibah,35.619,31.528
As Safiyah,35.6,31.533
An Nuqay3ah,35.617,31.55
Rujm Az Zaniyah,35.64,31.552
Umm Al Awtad,35.637,31.554
Sahat Al Qaryah,35.633,31.567
Al Hamiyah,35.633,31.567
Rujm Al Mashnaqah,35.624,31.567
Muhafazat Madaba,35.667,31.583
Al Mustadirah,35.613,31.587
Al Muhaysin,35.599,31.593
Al Buqay3,35.617,31.597
Qullat Ash Shin,35.6,31.6
Ad Dabbusah,35.596,31.602
Al Madashash,35.564,31.62
Qimmat Abu al Hussien,35.717,31.567
Umm Tinah,35.783,31.633
Al Bad7iyah,35.683,31.433
Khirbat As Sa7ilah,35.716,31.479
Rujaym Salim,35.839,31.51
Ammuriya,35.825,31.56
Al Marmadah,37.704,31.835
Maqta3 D7ayl Al Faras,37.307,31.895
Muhafazat Al Mafraq,37.917,32.333
Khirbat Ash Shubaykah,37.235,32.408
Harrat Ar Rujaylah,37.5,32.417
Ghamad Al Ghusayn,37.8,32.417
Al Miqat,38.033,32.467
Mahattat Al Jufur,38.201,32.504
Ad Dubay3iyah,36.45,32.2
Harrat Mushanshal,36.48,32.122
Rukays,36.571,32.34
